id,Director,Actor,Type,Nation,Weight,idI
0.5毫米,安藤桃子,安藤樱;织本顺吉;木内みどり;土屋希望;井上竜夫;东出昌大;柳原晴郎;角替和枝;浅田美代子;坂田利夫;柄本明;草笛光子;津川雅彦,剧情,日本,2,0
0.5的爱情,邢潇,蒲巴甲;江语晨;李悦铭;龚洁,爱情,中国大陆,2,1
007：幽灵党,萨姆·门德斯,丹尼尔·克雷格;克里斯托弗·沃尔兹;蕾雅·赛杜;本·卫肖;娜奥米·哈里斯;戴夫·巴蒂斯塔;莫妮卡·贝鲁奇;拉尔夫·费因斯;斯黛芬妮·西格曼;安德鲁·斯科特;罗里·金奈尔;内芙·加切夫;加斯帕·克里斯滕森;丹尼尔·斯蒂森;丹尼尔·韦斯特伍德;拉斯科·阿特金斯,动作;惊悚;冒险,英国;美国,5,2
10分钟,李容承,白钟焕;Jong-gu Kim;郑熙泰,剧情,韩国,2,3
10年计划,J.C. Calciano,杰克·特纳;迈克尔·亚当·汉密尔顿;内森·彼得森;泰瑞·里维斯;Moronai Kanekoa;Teri Reeves;Adam Bucci;Ben Palacios;Trevor Kuhn;Michael Rothhaar;黛布拉·威尔逊,喜剧;同性,美国,3,4
11-12-13至死不渝,Sarawut Wichiensarn,苏格拉瓦·卡那诺;Nutthasit Kotimanuswanich;阿芮根妲·马哈乐沙空;Mek Mekwattana,喜剧;恐怖,泰国,3,5
11时,金炫锡,郑在咏;金玉彬;丹尼尔·崔;李代延;朴哲民;申多恩;吴光禄,惊悚,韩国,2,6
人性,米歇尔·贡德里,帕特丽夏·阿奎特;瑞斯·伊凡斯;蒂姆·罗宾斯;米兰达·奥图,剧情;喜剧,法国;美国,4,7
人烟之岛,费奥多尔·邦达尔丘克,瓦西里·斯蒂潘诺夫;俞莉亚·斯尼吉尔;彼得·费奥多罗夫;谢尔盖·加尔马什;Yuriy Kutsenko,动作;科幻;冒险,俄罗斯,4,8
人烟之岛2：战斗,费奥多尔·邦达尔丘克,瓦西里·斯蒂潘诺夫;俞莉亚·斯尼吉尔;彼得·费奥多罗夫;谢尔盖·加尔马什;=,动作;科幻;冒险,俄罗斯,4,9
人熊传奇,Stewart Raffill,Bryan Brown;Oliver Tobias;Tom Jackson,冒险,英国;加拿大;美国,4,10
人狼游戏2：野兽阵营,熊坂出,土屋太凤;森川葵;青山美乡;藤原季节;佐久间由衣;小野花梨;加藤谅;育乃介;国岛直希;樱田通,惊悚,日本,2,11
人狼游戏：爱人,绫部真弥,古畑星夏;佐生雪;平田雄也;沟口惠;前田航基;森高爱;春川芽生;安藤瑠一;铃木知寻;中村萌;池田纯矢,剧情;惊悚,日本,3,12
人狼游戏：疯狂的狐狸,绫部真弥,高月彩良;富手麻妙;柾木玲弥;斎藤嘉樹;萩原实里;富田佳辅;長村航希;村上穂乃佳;水石亜飛夢;奥村秀人;山根綺;藤井武美,恐怖,日本,2,13
人狼游戏：越狱,绫部真弥,小岛梨里杏;渡边佑太朗;山谷花纯;清水尚弥;冈本夏美;花影香音;篠田諒;金子大地;小山莉奈;濱正悟;池田和樹;梅村紗瑛,动作;惊悚,日本,3,14
人生,泰德·戴米,艾迪·墨菲;马丁·劳伦斯;奥巴·巴巴图德,剧情;喜剧;犯罪,美国,4,15
人生不再重来,卓娅·阿赫塔尔,赫里尼克·罗斯汉;阿佩·代沃尔;法尔汉·阿赫塔尔;卡特莉娜·卡芙;卡尔奇·克什兰;艾妮安娜·卡布罗尔;纳萨鲁丁·沙,剧情,印度,2,16
人生密密缝,荻上直子,生田斗真;桐谷健太;柿原玲佳;米姆拉;小池荣子;门胁麦;田中美佐子;柏原收史;高桥枫翔;品川彻;江口德子;込江海翔,剧情;同性;家庭,日本,4,17
人生的约定,石桥冠,竹野内丰;江口洋介;松坂桃李;优香;小池荣子;柄本明;北野武;美保纯;室井滋;西田敏行;高桥光,剧情,日本,2,18
人皮交易,吕翼谋,彼得·威勒;朗·普尔曼;杜夫·龙格尔;迈克尔·加·怀特;卢靖姗;托尼·贾;田川洋行;柯南·史蒂文斯;麦克·多普德;Chloe Babcook;Leo Rano;斯蒂文·埃尔德;Tasya Teles;Natalie Lorence;Michael G Selby,动作;惊悚;犯罪,美国;泰国;加拿大,6,19
人皮脸,亚历山大·布斯蒂罗;朱利安·莫利,斯蒂芬·多尔夫;莉莉·泰勒;萨姆·斯特里克;凡妮莎·格拉斯;菲恩·琼斯;萨姆·科尔曼;杰西卡·马德森;詹姆斯·布鲁尔;克里斯托弗·亚当森;迪莫·亚历克谢夫;内森·库珀;德扬·安格洛夫;鲍里斯·卡巴切夫,惊悚;恐怖,美国,3,20
人类削减计划,迈克尔·J·格拉赫,罗根·保罗;佩顿·李斯特;莉亚·玛瑞·约翰逊;卡勒姆·沃西;瑞恩·纽曼;迈克尔·特拉诺尔;斯黛西·达什;马修·格拉夫;罗伯特·甘特;绮尔斯腾·瓦伦;贾纳·温特尼茨;帕特里克·奥沙利文;艾米·帕夫拉特;杰夫·科贝特;劳拉·哈灵,科幻;惊悚,美国,3,21
人类办事处,罗布·W·金,尼古拉斯·凯奇;休·狄伦;维斯勒·夏农;杰特·克莱恩;莎拉·林德;Jakob Davies;Lorne Cardinal;大卫洛夫格伦;Mel Tuck;Leo Fafard,动作;科幻,加拿大,3,22
人类清除计划,詹姆斯·德莫纳克,伊桑·霍克;琳娜·海蒂;艾德文·霍德吉;马克斯·博克霍德;阿黛莱德·凯恩;瑞斯·维克菲尔德,科幻;惊悚;犯罪,美国;法国,5,23
人类清除计划2：无政府状态,詹姆斯·德莫纳克,弗兰克·格里罗;卡门·艾乔戈;扎克·吉尔福德;基拉·桑切斯;贾斯蒂娜·马查多;约翰·比斯利;诺尔·古格雷米;卡斯图罗·格雷拉;迈克尔·肯尼斯·威廉姆斯,科幻;惊悚;犯罪,美国;法国,5,24
人类清除计划3,詹姆斯·德莫纳克,弗兰克·格里罗;伊丽莎白·米切尔;麦凯尔泰·威廉逊;约瑟夫·朱利安·索里亚;贝蒂·加布里埃尔;Terry Serpico;艾德文·霍德吉;凯尔·赛科特;Barry Nolan;莉莎·科伦-扎亚斯;伊桑·菲利普斯;Adam Cantor,科幻;惊悚;犯罪,美国,4,25
人类灭亡报告书,金知云;任弼星,金康宇;金圭丽;柳昇范;裴斗娜;奉俊昊;陈智熙;赵胤熙;高俊熙;马东锡;朴海日;宋诗曦;宋永彰;尹世雅,剧情;科幻,韩国,3,26
人艰不拆,瑞卡多·米拉尼,宝拉·柯特莱西;雷欧·波瓦;科拉多·福耳图那;恩尼奥·凡塔斯蒂基尼;卢妮塔·萨维诺;塞萨尔·博奇;马可·博奇;史蒂芬妮雅·若卡,喜剧;同性,意大利,3,27
人间中毒,金大佑,宋承宪;林智妍;赵汝贞;温宙完;柳海真;全慧珍;郑元中;金惠娜,剧情;爱情;情色,韩国,4,28
人间喜剧,鸿鸿,赵自强;蒋薇华;张令娴,喜剧,台湾,2,29
人间失格 剧场版,浅香守生,堺雅人;高木涉;朴璐美;久川绫;能登麻美子;田中敦子,剧情;动画,日本,3,30
人间有情,高志森,周志辉;罗冠兰;高翰文;刘雅丽;卢俊豪;苏玉华;谢君豪;冯蔚蘅;潘灿良;余俊峰;许芬,剧情;喜剧,香港,3,31
人鬼情未了,大谷太郎,松岛菜菜子;宋承宪;树木希林;芦田爱菜,剧情;爱情;悬疑;惊悚;奇幻,日本;韩国,7,32
仁川登陆作战,李宰汉,李政宰;李凡秀;连姆·尼森;郑俊镐;金秉玉;秋山成勋;陈世妍;强·格瑞斯;金宣儿;朴圣雄;朴哲民;金英爱,剧情;战争,韩国,3,33
仅此一夜,金赵光寿;金泰泳,張宥相;赵福来,爱情;同性,韩国,3,34
仅此而已,石井岳龍,染谷将太;水野绘梨奈;涩川清彦;村上淳;绫野刚,剧情,日本,2,35
今夕何夕,亚历山大·阿卡迪,安娜·帕里约;文森特·佩雷斯;安妮·康斯金尼;诺拉·阿娜泽德尔;Fu'ad A?t Aattou,爱情,法国,2,36
今天,李廷香,宋慧乔;宋昌义;奇太映;南智贤,剧情,韩国,2,37
今天的吉良同学,川村泰祐,中川大志;饭丰万理江;叶山奖之;平祐奈;冈田浩晖;三浦理惠子;安田显;川上洋平;高桥茂雄,喜剧,日本,2,38
今天的恋爱,朴珍杓,李昇基;文彩元;李瑞镇;郑俊英,喜剧;爱情,韩国,3,39
今晚打丧尸,卢炜麟,张继聪;白只;万梓良;吴家丽;王敏奕;颜卓灵,喜剧;恐怖,香港,3,40
从你的全世界路过,张一白,邓超;白百何;杨洋;张天爱;岳云鹏;杜鹃;柳岩;廖学秋;曹卫宇;汪启楠;安韩瑾;潘肖;曹涤非;朱红;刘乐思;蓝可;梁超;张爱钦;张美娥,喜剧;爱情,中国大陆,3,41
从此刻到日出,弗朗西斯·福特·科波拉,方·基默;艾丽·范宁;布鲁斯·邓恩;本·卓别林,惊悚;恐怖,美国,3,42
仓皇一夜,露西亚·安尼洛,斯嘉丽·约翰逊;吉莉恩·贝尔;佐伊·克罗维兹;伊拉纳·格雷泽;凯特·麦克金农;保罗·当斯;瑞安·库柏;泰·布利尔;黛米·摩尔;恩里克·穆西安诺;迪恩·文特斯;科尔顿·海恩斯;帕特里克·卡莱尔;埃里克·安德烈;博·伯翰,喜剧,美国,2,43
他们先杀了我父亲：一个柬埔寨女儿的回忆录,安吉丽娜·朱莉,Sareum Srey Moch;Phoeung Kompheak;Sveng Socheata;Mun Kimhak;Heng Dara;Khoun Sothea;Sarun Nika;Run Malyna;Oun Srey Neang;Horm Chhora;Mony Ros;Tharoth Sam;Nout Sophal,剧情;传记;历史,柬埔寨;美国,5,44
他们叫我吉克,加布里尔·梅内提,克劳迪奥·桑塔玛利亚;卢卡·马里内利;斯特凡诺·安布罗吉;毛里齐奥·特塞;伊莱尼·帕斯托雷利;詹卢卡·迪·热纳罗,喜剧;动作;科幻,意大利,4,45
他们最好的,罗勒·莎菲,杰玛·阿特登;山姆·克拉弗林;比尔·奈伊;杰克·休斯顿;保罗·里特;蕾切尔·斯特灵;理查德·E·格兰特;亨利·古德曼;杰克·莱西;杰瑞米·艾恩斯;埃迪·马森;海伦·麦克洛瑞;休伯特·伯顿;克劳迪亚·杰西;斯蒂芬妮·海姆,剧情;喜剧;爱情;战争,英国;瑞典,6,46
他和她的孤独情事,内德·本森,詹姆斯·麦卡沃伊;杰西卡·查斯坦;妮娜·阿里安达;维奥拉·戴维斯;比尔·哈德尔;塞伦·希德;伊莎贝尔·于佩尔;威廉·赫特;杰丝·威克斯勒;妮基·米歇尔·詹姆斯;杰里米·萨默斯,剧情;爱情,美国,3,47
他和她的故事,R·巴尔基,阿琼·卡普尔;卡琳娜·卡普尔;贾雅·巴杜里;拉吉特·卡普尔;斯瓦普·桑帕特;阿米达普·巴强,喜剧;爱情,印度,3,48
他是龙,因达尔·詹杜巴耶夫,马特维·雷科夫;玛利亚·波兹哈娃;斯坦尼斯拉夫·柳布申;彼得·罗曼诺夫;列娃·安德烈瓦伊达;阿莲娜·契诃娃;维多利亚·伦佐娃,爱情;奇幻;冒险,俄罗斯,4,49
代号47,亚历山大·巴赫,鲁伯特·弗兰德;扎克瑞·昆图;塞伦·希德;托马斯·克莱舒曼;汉娜·韦尔;丹·巴克达尔;埃米里奥·瑞弗拉;罗夫·凯尼斯;米凯拉·卡斯帕;杨颖,动作;惊悚;犯罪,美国,4,50
代立军,郑胤澈,李政宰;吕珍九;金武烈;裴秀彬;曹东因;李絮;玄奉植;金明坤;南成俊;朴海俊;朴元尚,剧情;历史;战争;古装,韩国,5,51
以女儿之名,文森特·贾洪,丹尼尔·奥特伊;塞巴斯蒂安·科赫;玛丽-乔西·克罗兹;克里斯特尔·科尼尔;利拉-萝丝·吉尔贝蒂;艾玛·贝松;克里斯蒂安·米厄特克;塞尔日·费拉德;弗雷德·培森;皮埃尔·布雷尔,剧情;传记,法国;德国,4,52
仪式,米凯尔·哈弗斯特罗姆,安东尼·霍普金斯;科林·奥多霍诺;艾莉丝·布拉加;塞伦·希德;托比·琼斯;鲁特格尔·哈尔;玛塔·加丝蒂妮;克里斯·马奎特;托里·德维托;玛丽亚·卡兰;罗莎·别亚内达;Giampiero Ingrassia;塞奇莉亚·达齐;Attila Bardóczy,剧情;惊悚;恐怖,美国;匈牙利;意大利,6,53
企鹅小守护,斯图尔特·麦克唐纳,艾伦·图代克;莎拉·斯努克;德波拉·梅尔曼;特里·金瑞利;肖恩·雅克博森;斯蒂芬·卡尼;可可·杰克·吉利斯;理查德·戴维斯;弗兰克·伍德利,家庭;冒险,澳大利亚,3,54
伊丽莎白,Sven Offen,玛雅·哈克福特;Máté Kamarás;安德烈 鲍尔,剧情;歌舞,Austria,3,55
伊夫圣罗兰传,加里·勒斯培,皮埃尔·尼内;圭洛姆·加里尼;夏洛特·勒·邦;劳拉·斯梅特;艾克萨维尔·拉菲特;尼科莱·金斯基,爱情;同性;传记,法国,4,56
伊娃,凯克·麦罗,丹尼尔·布鲁尔;玛尔塔·埃图拉;阿尔维托·阿曼;克劳迪亚·贝加;Anne Canovas;路易斯·奥马,剧情;科幻;奇幻,西班牙,4,57
伊斯坦布尔的幸福,Abdullah Oguz,?zgü Namal;Talat Bulut;Murat Han,剧情,土耳其,2,58
伊斯梅尔的幽魂,阿诺·德斯普里钦,马修·阿马立克;玛丽昂·歌迪亚;夏洛特·甘斯布;路易·加瑞尔;阿尔巴·罗尔瓦凯尔;拉斯洛·绍博;伊波利特·吉拉尔多;雅各·诺勒;凯瑟琳·蒙切特;萨米尔·盖丝米;布鲁诺·托德契尼,剧情;爱情;惊悚,法国,4,59
伏地魔：传人的起源,Gianmaria Pezzato,Stefano Rossi;Andrea Baglio;Aurora Moroni;Andrea Bonfanti;Gelsomina Bassetti;Daniele Decarli;Alessio Dalla Costa;Andrea Deanesi;Davide Ellena;Maddalena Orcali,奇幻;冒险,意大利,3,60
伏妖白鱼镇,刘轩狄,杜奕衡;林枫烨;付赫安琪;李炳宏,动作;奇幻;古装,中国大陆,4,61
众神与野兽,比尔·康顿,伊恩·麦克莱恩;布兰登·费舍;琳恩·雷德格瑞夫;洛丽塔·大卫多维奇;大卫·杜克斯,剧情;同性;传记,英国;美国,5,62
优雅的谎言,李翰,金喜爱;高雅星;金香起;金裕贞;成东日;刘亚仁;千禹熙,剧情;悬疑,韩国,3,63
会计刺客,加文·欧康诺,本·阿弗莱克;安娜·肯德里克;J·K·西蒙斯;乔·博恩瑟;杰弗里·塔伯;辛希亚·阿戴-罗宾森;约翰·利思戈;珍·斯马特;安迪·昂伯格;艾莉森·赖特;杰森·戴维斯;罗伯特·C.特雷维勒;玛丽·克拉夫特;塞思·李;杰克·普雷斯利,剧情;动作;惊悚;犯罪,美国,5,64
伟大的咻啦啦砰,水落礼,滨田岳;冈田将生;深田恭子;渡边大;贯地谷诗穗梨;佐野史郎;笹野高史;津川雅彦;小柳友;村上弘明;大野丝;高田延彦,喜剧,日本,2,65
伟大的愿望,???,柳德焕;金东英;安在洪,剧情;喜剧,韩国,3,66
传奇,布莱恩·海尔格兰德,汤姆·哈迪;艾米莉·布朗宁;克里斯托弗·埃克莱斯顿;大卫·休里斯;科林·摩根;保罗·安德森;塔拉·菲茨杰拉德;查兹·帕尔明特瑞;安库塔·布雷班;乔舒亚·希尔;萨姆·霍尔;亚当·弗格蒂;马克·扎米特;理查德·瑞德尔;迈克尔·海登;塔伦·埃格顿;王丽雅;史蒂芬·洛德;劳琳·斯坦利;拉塞尔·巴洛格;鲍勃·克赖尔;亚历山德拉·海耶斯,剧情;传记;犯罪,英国,4,67
传染病,史蒂文·索德伯格,玛丽昂·歌迪亚;马特·达蒙;劳伦斯·菲什伯恩;裘德·洛;格温妮斯·帕特洛;凯特·温丝莱特;布莱恩·科兰斯顿;詹妮弗·艾莉;埃利奥特·古尔德;黄经汉;约翰·浩克斯;安娜·雅克贝-海伦;何超仪;桑娜·莱瑟;迪米特利·马丁;阿敏·罗德;恩里克·克兰东尼;拉里·克拉克;莫尼克·加布里埃拉·库尔内;徐天佑;达丽雅·斯托寇思;Griffin Kane;Stef Tovar;格蕾丝·雷克斯;瑞贝卡·斯宾塞;Dan Aho;Brian J. O'Donnell;Annabel Armour;Kara Zediker;Dan Flannery,剧情;科幻;惊悚;灾难,美国;阿联酋,6,68
传说的拳头,康佑硕,黄晸玟;尹宰文;刘俊相;李枖原;郑雄仁;金英玉,动作,韩国,2,69
伤口,约翰·特伦戈夫,纳肯·图雷;邦基尔·曼赛;尼扎·杰;索巴尼·姆瑟勒尼,剧情;爱情;同性,南非;德国;荷兰;法国,7,70
伤心往事,前田司郎,小泉今日子;二阶堂富美;高良健吾;板尾创路;山田裕贵;黑川芽以;古关安广;大竹真;山田望叶;齐木茂,剧情,日本,2,71
伤物语1：铁血篇,新房昭之;尾石达也,神谷浩史;坂本真绫;堀江由衣;樱井孝宏,喜剧;动作;爱情;动画;奇幻,日本,6,72
伤物语2：热血篇,新房昭之;尾石达也,神谷浩史;坂本真绫;堀江由衣;樱井孝宏;入野自由;江原正士;大塚芳忠,喜剧;动作;动画;奇幻,日本,5,73
伤物语3：冷血篇,新房昭之;尾石达也,神谷浩史;坂本真绫;堀江由衣;樱井孝宏;入野自由;江原正士;大塚芳忠,喜剧;动画;奇幻,日本,4,74
伤痕累累的恶魔,山岸圣太,足立梨花;江野泽爱美;增山加弥乃;冈田结实;藤田富;小南光司;川原亚矢子;宫地真绪;中岛爱兰;花影香音,剧情,日本,2,75
伦敦一家人,罗杰·梅因伍德,卢克·崔德威;吉姆·布劳德本特;布兰达·布莱斯;帕姆·费里斯;罗杰·阿拉姆;彼得·怀特;弗吉尼亚·麦肯娜;茱恩·布朗;西蒙·戴;亚历克斯·乔丹,剧情;动画;家庭,英国,4,76
伦敦父女档,雨果·热兰,奥玛·希;格洛丽亚·科尔斯顿;克蕾曼丝·波西;安托万·贝特朗;艾什雷·沃特斯;克莱门汀·塞拉里耶;安娜·科蒂斯;拉斐尔·冯·布卢门塔尔;本·霍姆伍德;爱丽丝·戴维;莫娜·瓦尔拉芬斯·;拉奎尔·卡西迪;霍华德·克罗斯利;安娜贝尔·洛佩斯;塞西尔·卡塞尔;鲁本·阿尔维斯,剧情;喜剧,法国;英国,4,77
伦敦陷落,巴巴克·纳加非,杰拉德·巴特勒;艾伦·艾克哈特;摩根·弗里曼;阿隆·阿布布尔;安吉拉·贝塞特;罗伯特·福斯特;梅丽莎·里奥;拉达·米切尔;肖恩·奥布赖恩;瓦利德·祖伊特;夏洛特·莱利;杰基·厄尔·哈利;科林·萨蒙;帕特里克·肯尼迪;麦赫迪·德比,动作;惊悚;犯罪,英国;美国;保加利亚,6,78
伪婚男女,周美玲,唐振刚;周厚安;李京恬;程茉;王琄,剧情;同性,台湾,3,79
伯德小姐,格蕾塔·葛韦格,西尔莎·罗南;劳里·梅特卡夫;崔西·莱茨;卢卡斯·赫奇斯;蒂莫西·柴勒梅德;比妮·费尔德斯坦;罗伊丝·史密斯;斯蒂芬·亨德森;奥德娅·拉什;乔丹·罗德里格斯;凯瑟琳·纽顿;约翰·卡尔纳;杰克·麦克道曼;劳拉·马兰洛;安迪·巴克利;丹尼尔·祖瓦图;克里森·克拉克;丹妮尔·麦克唐纳;鲍勃·斯蒂芬森;路易莎·李;伦敦·托尔;本·康尼斯伯格;维克托·沃尔夫,剧情;家庭,美国,3,80
伯德街小岛,S?ren Kragh-Jacobsen,Simon Gregor 西蒙·格雷格;Jordan Kiziuk 乔丹·基兹克;Patrick Bergin 帕特里克·博根;James Bolam 詹姆斯·伯拉姆,剧情;战争,丹麦;英国;德国,5,81
伯特伦旅馆之谜,丹·泽夫,杰拉尔丁·麦克伊万;玛汀·麦古基安;弗兰西丝卡·安妮丝;波利·沃克;史蒂芬·曼甘,悬疑;犯罪,英国,3,82
伸冤人,安东尼·福奎阿,丹泽尔·华盛顿;马尔顿·索克斯;科洛·莫瑞兹;大卫·哈伯;海莉·贝内特;比尔·普尔曼;梅丽莎·里奥;大卫·梅尼尔;E·罗杰·米切尔;Alex Veadov;Vladimir Kulich;Mike O'Dea,动作;惊悚;犯罪,美国,4,83
但丁密码,朗·霍华德,汤姆·汉克斯;菲丽希缇·琼斯;本·福斯特;奥玛·希;伊尔凡·可汗;西瑟·巴比特·科努德森;安娜·乌拉鲁;沃尔夫冈·施特格曼;阿提拉·阿帕;乔恩·多纳休,悬疑;惊悚,美国;匈牙利,4,84
住货车的女士,尼古拉斯·希特纳,玛吉·史密斯;吉姆·布劳德本特;阿历克斯·杰宁斯;乔治·芬顿;杰米·帕克;黛博拉·芬德莱;罗杰·阿拉姆;潘多拉·科林;尼古拉斯·本恩斯;多米尼克·库珀;詹姆斯·柯登;弗朗西斯·德·拉·图瓦;斯蒂芬·坎贝尔·莫尔;塞缪尔·巴奈特;塞缪尔·安德森;埃莉诺·松浦;大卫·卡尔德;德尔莫特·克劳利;拉塞尔·托维;克莱尔·芙伊,剧情;喜剧;传记,英国,4,85
佐州自救兄弟2,蒂姆·斯托瑞,艾斯·库珀;凯文·哈特;郑肯;本杰明·布拉特;奥立薇娅·玛恩;布鲁斯·麦克吉尔;提卡·森普特;格伦·鲍威尔;雪莉·谢波德;娜丁·维拉兹盖兹;卡洛斯·戈麦斯,喜剧;动作,美国,3,86
余烬,Claire Carré,杰森·雷特;Iva Gocheva;Greta Fernández;塔克·斯莫尔伍德;卡尔·格洛斯曼;Roberto Cots;多米尼克·斯万;Matthew Goulish;Silvan Friedman;Derrick Aguis;Nathaniel Andrew;Brandon Bowens;Janice Culver;Ryan Czerwonko;Kirsten Kairos,剧情;科幻,波兰;美国,4,87
佛在耻辱中倒塌,汉娜·玛克玛尔巴夫,Abbas Alijome;Abdolali Hoseinali;Nikbakht Noruz,剧情;战争,伊朗,3,88
佛罗里达乐园,肖恩·贝克,布鲁克琳·普林斯;布丽娅·维纳特;威廉·达福;克里斯托弗·里维拉;梅拉·穆德;瓦莱丽亚·科托;乔希·奥利沃;艾登·马利克;爱德华·帕根;卡赖伯·兰德里·琼斯;克里斯托·尼科尔·沃茨;桑迪·凯恩;吉姆·R·科曼;安德鲁·罗马诺;卡罗丽娜·格拉波瓦;特里·艾伦·琼斯;卡伦·卡拉古利安;邹时擎;祖普·卡塔纳;梅肯·布莱尔;卡尔·布拉德菲尔德,剧情;儿童,美国,3,89
你会在那里吗？,洪智暎,金允石;卞耀汉;蔡书珍;朴秀慧,剧情;爱情;奇幻,韩国,4,90
你和我,窪田崇,中村蒼;坂本真綾,剧情,日本,2,91
你好安妮,埃莉诺·科波拉,戴安·琳恩;亚历克·鲍德温;阿诺·维亚德;琳达·乔古斯;艾乐蒂·纳瓦;艾丽斯·蒂尔罗伊;塞德里克·蒙内,剧情;喜剧;爱情,美国,4,92
你好布拉德,麦克·怀特,本·斯蒂勒;奥斯汀·艾布拉姆斯;珍娜·费舍;麦克·辛;杰梅奈·克莱门特;卢克·威尔逊;莎兹·拉亚;路易莎·李;麦克·怀特;泽维尔·佩雷斯·格罗贝;亚当·卡布里奥罗;费利西亚·舒尔曼;简·惠勒;沙维尔·索特洛;吉米·坎摩尔,剧情;喜剧;音乐,美国,4,93
你好，我叫多蕾丝,迈克尔·肖沃特,莎莉·菲尔德;马克思·格林菲尔德;贝丝·比厄;温迪·麦克伦登-考威;斯蒂芬·鲁特;伊莉莎白·里瑟;娜塔莎·雷昂;泰恩·黛莉;彼得·盖勒;库梅尔·南贾尼,剧情;喜剧;爱情,美国,4,94
你好，疯子！,饶晓志,万茜;周一围;王自健;金士杰;李虹辰;莫小棋;刘亮佐;曹卫宇,剧情;喜剧;悬疑,中国大陆,4,95
你是下一个,亚当·温加德,沙妮·文森;尼古拉斯·图齐;温迪·格伦;AJ·鲍恩;乔·斯万博格;玛格丽特·兰妮;艾米·西米茨;缇·威斯特;罗布·莫兰;巴巴拉·克兰普顿;L·C·霍尔特;西蒙·巴雷特;莱恩·休斯,惊悚;恐怖,美国,3,96
你是好孩子,吴美保,高良健吾;尾野真千子;池胁千鹤;高桥和也;喜多道枝;加部亚门;富田靖子;黑川芽以;内田慈,剧情,日本,2,97
你的名字。,新海诚,神木隆之介;上白石萌音;长泽雅美;市原悦子;成田凌;悠木碧;岛崎信长;石川界人;谷花音;寺杣昌纪;大原沙耶香;井上和彦;茶风林;加藤有花;花泽香菜;寺崎裕香,剧情;爱情;动画,日本,4,98
你的短信,卡洛琳·赫弗斯,卡洛琳·赫弗斯;弗莱德里奇·穆克;诺拉·茨切纳;弗雷德里克·劳;卡蒂娅·里曼;艾妮莎·阿玛尼;弗雷德里克·坎普特;萨缪尔·芬齐;尤韦·普罗伊斯;克杜拉·施特拉特曼;汤姆·贝克;珍娜·霍斯特曼;拉斯马斯·博罗夫斯基;塞巴斯蒂安·弗拉斯多夫;弗洛里安·斯泰特,剧情;喜剧;爱情,德国,4,99
你看起来好像很好吃,藤森雅也,山口胜平;爱河里花子;加藤清史郎;原田知世;川岛得爱;折笠富美子;桐本琢也;別所哲也;矢田稔;川村万梨阿;高乃丽;小室正幸;江川央生;志村知幸;胜沼纪义;井田国男;宫西达也;宫西美奈子,剧情;动画;儿童,日本,4,100
你眼中的世界,布林·希尔,迈克尔·斯塔尔·大卫;佐伊·卡赞;妮基·瑞德;詹妮弗·格雷;史蒂夫·豪威;马克·费厄斯坦;克莱斯·威廉斯;理查德·里尔;史蒂夫·哈里斯;普雷斯顿·贝里;利兹·斯托贝尔;里德·伯尼;斯蒂芬·泰勒,剧情;爱情;科幻,美国,4,101
你自己与你所有,洪尚秀,金柱赫;李裕英;金义城;权海骁;刘俊相,剧情,韩国,2,102
佩小姐的奇幻城堡,蒂姆·波顿,阿萨·巴特菲尔德;伊娃·格林;塞缪尔·杰克逊;朱迪·丹奇;艾拉·珀内尔;克里斯·奥多德;金·迪肯斯;艾莉森·珍妮;劳伦·麦克罗斯蒂;特伦斯·斯坦普;鲁伯特·艾弗雷特;芬利·麦克米伦;艾拉·瓦勒斯泰特;米洛·帕克;匹克西·戴夫斯;澳澜·琼斯,剧情;奇幻;冒险,美国,4,103
佩拉斯卡,阿尔贝托·内格林,卢卡·津加雷蒂;热罗姆·昂热;阿曼达·桑德雷莉;弗兰科·卡斯特拉诺;马洛可·伯尼尼,剧情;传记;历史,意大利;法国;瑞典;匈牙利,7,104
使命召唤,皮埃尔·莫瑞尔,西恩·潘;杰丝敏·特丽卡;哈维尔·巴登;雷·温斯顿;马克·里朗斯;伊德里斯·艾尔巴;彼得·弗兰森;马克·沙尔丹;埃米利奥·布阿勒;卡拉·佩雷斯;托尼·科尔维略;安吉拉·富恩特;玛丽娜·马修斯;大卫·布莱克雷,剧情;动作;犯罪,法国;英国;西班牙;美国,7,105
使徒行者,文伟鸿,张家辉;古天乐;吴镇宇;佘诗曼;许绍雄;黄长兴;朱璇;梁琤;李光洁;张慧雯,剧情;动作;犯罪,中国大陆;香港,5,106
例外,大卫·莱维奥,莉莉·詹姆斯;克里斯托弗·普卢默;珍妮·麦克蒂尔;杰·科特尼;安东·莱瑟;本·丹尼尔斯;马丁·斯威比;马丁·萨维奇;马克·德克斯特;克里斯·库彭斯;埃迪·马森,剧情;爱情;战争,英国;美国,5,107
侏罗纪世界,科林·特雷沃罗,克里斯·普拉特;布莱丝·达拉斯·霍华德;文森特·多诺费奥;泰·辛普金斯;尼克·罗宾森;奥玛·希;黄荣亮;伊尔凡·可汗;朱迪·格雷尔;杰克·约翰逊;劳伦·拉普库斯;凯蒂·麦克格雷斯;布莱恩·泰;埃迪·J.费尔南德斯;因德尔·库马尔;安迪·巴克利;吉米·法伦,动作;科幻;冒险,美国;中国大陆,5,108
