id,Director,Actor,Type,Nation,Weight,idI
魔宫魅影,叶伟民,林心如;杨祐宁;任达华;黄幻;景岗山;林江国;孟瑶;张子枫;黄磊;李菁;何云伟,剧情;爱情;惊悚,中国大陆;香港,5,316
魔岛迷踪,Gabe Ibá?ez,Elena Anaya;Mar Sodupe,悬疑;惊悚,西班牙,3,317
魔幻帝国,约翰·亨德森,兰迪·奎德;乌比·戈德堡;Roger Daltrey;凯文·麦克基德,儿童;奇幻,美国;英国;德国,5,318
魔弦传说,特拉维斯·奈特,查理兹·塞隆;马修·麦康纳;拉尔夫·费因斯;阿特·帕金森;鲁妮·玛拉;武井乔治;田川洋行;野路美苗;布伦达·瓦卡罗;肯·竹本,动画;奇幻;冒险,美国,4,319
魔术师,希尔万·肖默,Jean-Claude Donda;Eilidh Rankin;Jil Aigrot;Didier Gustin;Frédéric Lebon;Tom Urie,剧情;动画,法国;英国,4,320
魔术技法,J·D·迪拉德,雅各布·拉提摩尔;赛切儿·加布埃尔;杜勒·希尔;斯托姆·瑞德;萨西尔·扎玛塔;迈克尔·维拉尔;布兰登·约翰逊;卡梅伦·埃斯波西托;安德鲁·菲茨帕特里克;杰·沃克;弗兰克·克莱姆;马讷·安德鲁;亚历克斯·海纳;伊丽莎白·格鲁伦;林赛·拉罗斯,剧情;动作;科幻;惊悚,美国,5,321
魔法少女伊莉雅：雪下的誓言,大沼心,杉山纪彰;名塚佳织;门胁舞以;花江夏树;下屋则子;小山力也;中田让治,动画;奇幻,日本,3,322
魔法少女奈叶The MOVIE 2nd A's,草川启造,田村由加莉;水树奈奈;植田佳奈,动画,日本,2,323
魔法老师,特瑞·琼斯,西蒙·佩吉;凯特·贝金赛尔;罗宾·威廉姆斯;罗伯·里格尔;特瑞·吉列姆;约翰·克立斯;乔安娜·林莉;艾迪·伊扎德;亚历克萨·戴维斯;艾瑞克·爱都;麦克·帕林;特瑞·琼斯;罗伯特·巴瑟斯特;梅拉·沙尔;艾玛·皮尔森;朱蒂·罗;桑吉夫·巴哈斯卡;布莱恩·考克斯;罗南·萨莫尔斯;加文·斯科特;玛格丽塔·道尔,喜剧;科幻,英国;美国,4,324
魔法黑森林,罗伯·马歇尔,安娜·肯德里克;克里斯·派恩;约翰尼·德普;梅丽尔·斯特里普;艾米莉·布朗特;克里斯汀·芭伦斯基;詹姆斯·柯登;麦肯泽·茂兹;莉拉·克劳馥;丹尼尔·赫特斯通;比利·马格努森;崔茜·尤玛;弗朗西斯·德·拉·图瓦;西蒙·拉塞尔·比尔,喜剧;歌舞;奇幻;冒险,美国;英国;加拿大,7,325
魔游纪1：盘古之心,回宇,卢宇静;于磊;余浩瑞;崔璨;阳蕾;郑欣雨;李彩瑞,剧情;动作;奇幻;冒险;古装,中国大陆,6,326
魔盒,Richard Kelly,James Marsden;Cameron Diaz,剧情;科幻;悬疑;惊悚,美国,5,327
魔警,林超贤,吴彦祖;张家辉;思漩;安志杰;廖启智;林嘉华;李国麟;欧锦棠;陈芷菁;梁焯满,动作;悬疑;惊悚;犯罪,香港;中国大陆,6,328
魔轮,王早,林心如;何润东;金世佳;王姬;盖玥希;李林;李尚翼;是之;刘世杰,悬疑;惊悚,中国大陆,3,329
魔都凶音,彭鹏华,姜雯;于小伟;张瑶;张辛苑;王笑天;颜冠英;张天颖;于和伟,悬疑;惊悚;恐怖,中国大陆,4,330
魔镜,帕芬姆·王金达;金成浩;彭发,孙坚;周泓;金恩圣;李彩英,惊悚,中国大陆;韩国,3,331
魔鬼山历险记,安迪·菲克曼,道恩·强森;安娜索菲亚·罗伯;亚历山大·路德韦格;卡拉·古奇诺;塞伦·希德;汤姆·艾弗瑞特·斯科特;克里斯·马奎特;黄圣依,科幻;惊悚;家庭;奇幻;冒险,美国,6,332
魔鬼游乐场,Mark McQueen,Danny Dyer;Shane Taylor;Craig Fairbrass;Daniela Denby-Ashe;Bart Ruspoli;Lisa McAllister,动作;恐怖,英国,3,333
魔鬼的精神,伊哥·斯坦普陈科,杰森·弗莱明;安德烈·斯莫利亚科夫;阿雷克西·查多夫;阿格尼娅·蒂科夫斯特;Yuriy Tsurilo;Olga Zaytseva;Aleksandr Yakovlev;伊戈尔·日日金;瓦列里·佐洛图欣;Nina Ruslanova;维克托·贝奇科夫;Ivan Mokhovikov;Anatoli Gushchin;阿列克谢·彼得鲁欣;Aleksandr Karpov,悬疑;惊悚;冒险,俄罗斯;乌克兰;捷克;德国;英国,8,334
魕,炜坚,潘绍聪;赵硕之;Brandy Akiko;朱紫娆,恐怖,香港,2,335
鲁滨逊漂流记,文森特·凯斯特鲁特;本·斯塔森,马提亚斯·施维赫夫;卡亚·叶娜尔;伊尔卡·贝桑;迪特·哈勒沃登;艾琳·特策尔;杰拉德·沙勒;梅兰妮·欣茨;托拜厄斯·莱勒;伽达·雅拉科;汤米·摩根施特恩;伯特·弗兰兹克;杰斯克·维特根;简·牧野;阿克塞尔·勒特,喜剧;动画;冒险,比利时;法国,5,336
鲁邦三世,北村龙平,小栗旬;玉山铁二;绫野刚;黑木美沙;浅野忠信;言承旭;尼克·泰特;金俊;尼鲁·西里詹亚;芮塔·彭安,动作,日本,2,337
鲁邦三世Episode：0 初次交锋,大原実Minoru Ohara,栗田贯一;小林清志;咲野俊介;小杉十郎太;永井一郎;池田胜;大木民夫;朴璐美;增山江威子;井上真树夫;纳谷悟郎;森山周一郎,喜剧;动作;动画;悬疑;犯罪,日本,6,338
鲁邦三世VS名侦探柯南 剧场版,龟垣一,栗田贯一;小林清志;浪川大辅;泽城美雪;山寺宏一;高山南;山崎和佳奈;小山力也;林原惠美;山口胜平;内野圣阳;夏菜;入野自由,动画,日本,2,339
